"Shoe Number","Visit Drop of Number","Engaged in Activities","Hours spent per Week","Anticipated Participation","Number of Steps","Notes","Hours Worn per Week","Hours Worn per Week Range10","Percent Time in Study Shoes of Total Time Wearing Shoes","Grassy Surfaces","Grassy Surfaces Clean","Indoor Surfaces","Indoor Surfaces Clean","Rocky Surfaces","Rocky Surfaces Clean","Muddy or Other Wet Surfaces","Muddy or Other Wet Surfaces Clean","Pavement Cement or Similar","Pavement Cement or Similar Clean","Sport Activities","Sport Activities Clean","Walking","Walking Clean","Dancing","Dancing Clean","Climbing","Climbing Clean","Hiking","Hiking Clean","Biking","Biking Clean"
"86","1","""Walking, Dancing""","1-3 hours per week","All the time","22717","""no rollover""","10","0-10","40-60%","0.0","0","0.5","50","0","0","0.2","20","0.3","30","0","0","7/week","100","0","0","0","0","0","0","0","0"
"99","3","""Walking""","More than 6 hours per week","All the time","342349","""no rollover""","25","21-30","40-60%","0.0","0","1","100","0","0","0","0","0","0","0","0","100% (5 days a week)","100","0","0","0","0","0","0","0","0"
"22","3","""Walking""","1-3 hours per week","All the time","244320","""NA""","40","31-40","60-80%","0.0","0","0.7","70","0","0","0.1","10","0.2","20","0","0","1","100","0","0","0","0","0","0","0","0"
"135","0","""""","","","0",""""""
"38","0","""""","","","0",""""""
"106","2","""Walking""","1-3 hours per week","4-6 times a week","100713","""NA""","8","0-10","0-20%","0.0","0","60","60","0","0","0","0","40","40","0","0","2","100","0","0","0","0","0","0","0","0"
"19","1","""Walking""","3-6 hours per week","4-6 times a week","98307","""""41307"," rolled over at 7","000 and at 50","000""""","20"," 11-20","20-40%","0.0","0","90","90","0","0","0","0","10","10","3","37.5","5","62.5","0","0","0","0","0","0","0","0"
"86","3","""Walking, Dancing""","1-3 hours per week","All the time","111647","""NA""","12 to 14"," 11-20","60-80%","0.0","0","0.2","20","0","0","0","0","0.8","80","0","0","every day of the study period so 20?","95.23809524","0","0","0","0","0","0","1","4.761904762"
"134","0","""""","","","0",""""""
"79","1","""Sports activities, Walking""","More than 6 hours per week","All the time","10241","""NA""","NA","NA","40-60%","0.1","10","0.3","30","0.1","10","0.3","30","0.2","20","1","4.166666667","20","83.33333333","0","0","0","0","0","0","3","12.5"
"2","0","""""","","","0",""""""
"51","0","""""","","","0",""""""
"48","3","""Sports activities, Walking, Climbing""","3-6 hours per week","All the time","928625","""NA""","5","0-10","40-60%","10.0","10","20","20","10","10","10","10","50","50","3","23.07692308","10","76.92307692","0","0","0","0","0","0","0","0"
"144","3","""Sports activities, Walking, Hiking""","3-6 hours per week","4-6 times a week","300154","""no rollover""","10","0-10","0-20%","0.0","0","60","60","0","0","0","0","40","40","0","0","2","100","0","0","0","0","0","0","0","0"
"39","0","""""","","","0",""""""
"18","0","""""","","","0",""""""
"138","3","""Walking""","None","Once to three times a week","250740","""NA""","30","21-30","80-100%","0.1","10","0.6","60","0","0","0.15","15","0.15","15","0","0","6","100","0","0","0","0","0","0","0","0"
"149","1","""Walking""","More than 6 hours per week","4-6 times a week","61500","""NA""","14"," 11-20","20-40%","0.0","0","0.2","20","0.2","20","0.3","30","0.3","30","3","30","7","70","0","0","0","0","0","0","0","0"
"90","1","""Walking, Dancing""","3-6 hours per week","4-6 times a week","54406","""NA""","NA","NA","20-40%","0.1","10","0.4","40","0","0","0.1","10","0.4","40","2","33.33333333","3","50","1","16.66666666","0","0","0","0","0","0"
"47","2","""Walking, Dancing""","More than 6 hours per week","4-6 times a week","83889","""NA""","9","0-10","0-20%","0.0","0","0","0","0","0","10","10","90","90","0","0","2","100","0","0","0","0","0","0","0","0"
"1","1","""Sports activities, Walking""","3-6 hours per week","4-6 times a week","282720","""2 Rollovers, pedometer Broke at 45,353""","NA","NA","40-60%","9.0","9","50","50","1","1","15","15","25","25","1","14.28571429","5","71.42857143","0","0","0","0","0","0","1","14.28571429"
"16","1","""Sports activities, Walking""","More than 6 hours per week","Once to three times a week","152232","""NA""","NA","NA","0-20%","0.0","0","0.2","20","0","0","0","0","0.8","80","0","0","2","66.66666667","0","0","0","0","0","0","1","33.33333333"
"69","1","""Walking, Hiking""","More than 6 hours per week","All the time","90998","""NA""","30","21-30","20-40%","0.0","0","70","70","0","0","10","10","20","20","4","50","4","50","0","0","0","0","0","0","0","0"
"26","1","""Sports activities, Walking, Climbing""","More than 6 hours per week","All the time","205000","""""Pedometer resets - need new""""","7 to 8","0-10","80-100%","0.05","5","0.7","70","0.05","5","0.1","10","0.1","10","20","3.496503497","500","87.41258741","50","8.741258741","1","0.174825175","1","0.174825175","0","0"
"157","1","""Sports activities, Walking""","3-6 hours per week","4-6 times a week","111955","""NA""","20 to 30 hours","21-30","20-40%","0.0","0","0.6","60","0","0","0.1","10","0.3","30","0","0","3 to 4 days","100","0","0","0","0","0","0","0","0"
"31","0","""""","","","0",""""""
"59","0","""""","","","0",""""""
"88","1","""Walking""","3-6 hours per week","4-6 times a week","115802","""one rollover""","16"," 11-20","20-40%","0.0","0","0.9","90","0","0","0","0","0.1","10","0","0","everytime","100","0","0","0","0","0","0","0","0"
"116","2","""Sports activities, Walking, Hiking""","3-6 hours per week","4-6 times a week","108369","""NA""","20"," 11-20","20-40%",">1%","33.33333333","0.3","10",">1%","33.33333333","0.1","3.333333333","0.6","20","0","0","15","88.23529412","2","11.76470588","0","0","0","0","0","0"
"113","1","""Sports activities, Walking""","3-6 hours per week","All the time","38922","""NA""","40","31-40","60-80%","0.0","0","0.2","20","0","0","0.6","60","0.2","20","4","44.44444444","5","55.55555556","0","0","0","0","0","0","0","0"
"156","3","""Sports activities, Walking""","1-3 hours per week","All the time","166457","""NA""","10 to 15"," 11-20","40-60%","0.1","10","0.25","25","0","0","0.25","25","0.4","40","0","0","5","","5","0","0","0","0","0","0","0","0"
"69","0","""""","","","0",""""""
"130","3","""Walking, Hiking""","3-6 hours per week","All the time","320557","""NA""","15 to 20"," 11-20","40-60%","0.0","0","0.2","20","0","0","0.05","5","0.75","75","1","12.5","5","62.5","0","0","0","0","2","25","0","0"
"26","2","""Sports activities, Walking, Climbing""","More than 6 hours per week","All the time","555000","""NA""","60","51-60","80-100%","0.05","5","0.15","15","0.1","10","0.2","20","0.5","50","20","8.474576271","200","84.74576271","10","4.237288136","5","2.118644068","1","0.423728814","0","0"
"91","1","""Sports activities, Walking, Dancing""","3-6 hours per week","4-6 times a week","122533","""1 roll over""","30","21-30","40-60%","0.1","10","0.4","40","0.1","10","0.2","20","0.2","20","4","40","4","40","2","20","0","0","0","0","0","0"
"91","0","""""","","","0",""""""
"12","1","""Sports activities, Walking, Hiking""","3-6 hours per week","Once to three times a week","148300","""NA""","20 to 30","21-30 ","20-40%","<5%","5",">80%","80","<5%","5","<5%","5","<5%","5","yes","-50","yes","-50","0","0","0","0","0","0","0","0"
"101","2","""Walking, Hiking""","3-6 hours per week","4-6 times a week","139971","""1 rollover""","10","0-10","20-40%","0.1","10","0.65","65","0.05","5","0.1","10","0.1","10","1 time","9.909090909","8 times","72.72727273","2","18.18181818","0","0","0","0","0","0"
"27","1","""Sports activities, Walking""","More than 6 hours per week","All the time","107332","""Rolled over: 1""","20"," 11-20","20-40%","0.0","0","0.2","20","0.05","5","0.05","5","0.7","70","0","0","40","100","0","0","0","0","0","0","0","0"
"152","0","""""","","","0",""""""
"53","3","""Walking""","3-6 hours per week","All the time","337519","""NA""","15"," 11-20","20-40%","0.1","10","0.7","70","0","0","0.1","10","0.1","10","0","0","1","100","0","0","0","0","0","0","0","0"
"128","3","""Sports activities""","1-3 hours per week","4-6 times a week","136203","""NA""","24","21-30","0-20%","0.0","0","45","45","0","0","10","10","45","45","0","0","5","100","0","0","0","0","0","0","0","0"
"143","3","""Sports activities, Walking, Hiking""","3-6 hours per week","4-6 times a week","265604","""no rollover""","16"," 11-20","0-20%","0.2","20","0.05","5","0.05","5","0.2","20","0.5","50","1","33.33333333","2","66.6666666","0","0","0","0","0","0","0","0"
"68","1","""Walking""","3-6 hours per week","4-6 times a week","127720","""1 rollover""","120","111-120","80-100%","0.1","10","0.4","40","0.1","10","0.1","10","0.3","30","2x a week","14.28571429","7x a week","50","4x a week","28.57142857","1x a week","7.142857143","0x a week","0","0x a week","0"
"50","3","""Sports activities, Walking""","More than 6 hours per week","All the time","704602","""NA""","NA","NA","NA","0.1","10","0.7","70","0","0","0","0","0.2","20","2 to 3","21.73912043","7","60.86956522","2","17.39130435","0","0","0","0","0","0"
"29","2","""Walking, Climbing, Hiking""","More than 6 hours per week","All the time","167207","""put 15-20 for average hours shoes were worn, no rollover""","15 to 20"," 11-20","60-80%","5.0","5","25","25","15","15","5","5","50","50","4","26.66666667","10","66.66666667","0","0","0","0","1","6.666666667","0","0"
"128","1","""Sports activities""","1-3 hours per week","4-6 times a week","50775","""NA""","14"," 11-20","20-40%","0.0","0","0.4","40","0","0","0.2","20","0.4","40","0","0","2","100","0","0","0","0","0","0","0","0"
"133","0","""""","","","0",""""""
"3","2","""Walking, Dancing""","3-6 hours per week","4-6 times a week","253746","""NA""","6","0-10","20-40%","0.0","0","0.8","80","0","0","0.2","20","0","0","3","20","6","40","6","40","0","0","0","0","0","0"
"5","0","""""","","","0",""""""
"30","0","""""","","","0",""""""
"99","2","""Walking""","More than 6 hours per week","All the time","279526","""NA""","38","31-40","NA","0.0","0","0.95","95","0","0","0","0","0.05","5","0","0","1","1","0","0","0","0","0","0","0","0"
"28","3","""Walking, Hiking""","3-6 hours per week","All the time","292001","""NA""","12 to 18 "," 11-20","40-60%","0.05","3.846153846","0.7","53.84615385","0.05","3.846153846","0.2","15.38461538","0.3","23.07692308","0","0","4","80","0","0","0","0","1","20","0","0"
"122","3","""Sports activities, Walking""","More than 6 hours per week","4-6 times a week","496949","""NA""","20"," 11-20","40-60%","0.2","20","0.6","60","0","0","0","0","0.2","20","2","28.57142857","5","71.42857143","0","0","0","0","0","0","0","0"
"34","1","""Sports activities, Walking, Climbing""","3-6 hours per week","4-6 times a week","270044","""""rolled over twice"", the entire chart 1 may be in ours (see paper survey) ""","30 to 35","31-40","80-100%","5.0","5.434782609","30 hours","32.60869565","2","2.173913043","25","27.17391304","30","32.60869565","5","12.5","30","75","2","5","2","5","0","0","1","2.5"
"123","0","""""","","","0",""""""
"43","2","""Sports activities, Walking""","1-3 hours per week","All the time","146844","""NA""","10","0-10","60-80%","10.0","10","40","40","5","5","5","5","40","40","0","0","15","100","0","0","0","0","0","0","0","0"
"92","3","""Sports activities, Walking, Dancing, Hiking""","More than 6 hours per week","4-6 times a week","359140","""NA""","24","21-30","20-40%","0.0","0","90","90","0","0","0","0","10","10","0","0","3","100","0","0","0","0","0","0","0","0"
"134","2","""Sports activities, Walking""","1-3 hours per week","All the time","227161","""NA""","17"," 11-20","60-80%","0.05","5","0.8","80","0.05","5","0","0","0.1","10","2","33.33333333","4","66.66666667","0","0","0","0","0","0","0","0"
"20","0","""""","","","0",""""""
"130","1","""Walking, Hiking""","3-6 hours per week","All the time","126660","""NA""","18 to 20 hours"," 11-20","40-60%","0.05","5","0.15","15","0","0","0.05","5","0.75","75","0","0","7 hours/day","100","0","0","0","0","0","0","0","0"
"15","1","""Walking, Hiking""","1-3 hours per week","4-6 times a week","186304","""NA""","NA","NA","NA","0%-20%","12.5","0","0","0","0","0","0","60-80%","87.5","0","0","6-10 times","100","0","0","0","0","0","0","0","0"
"61","2","""Sports activities, Walking""","3-6 hours per week","4-6 times a week","278860","""NA""","25","21-30","40-60%","0.05","5","0.45","45","0","0","0.25","25","0.25","25","1","14.28571429","5","71.42857143","0","0","0","0","1","14.28571429","0","0"
"103","3","""Sports activities, Walking, Hiking""","More than 6 hours per week","4-6 times a week","1611851","""Tracked steps with a fit bit""","60","51-60","60-80%","0.15","15","0.45","45","0","0","0","0","0.4","40","5","31.25","10","62.5","0","0","0","0","0","0","1","6.25"
"16","2","""Sports activities, Walking""","More than 6 hours per week","Once to three times a week","330105","""one rollover""","30","21-30","40-60%","0.0","0","20","20","0","0","40","40","40","40","0","0","7","100","0","0","0","0","0","0","0","0"
"152","1","""Sports activities, Walking, Climbing, Hiking""","3-6 hours per week","All the time","130668","""NA""","10","0-10","0-20%","0.0","0","0.9","90","0","0","0.1","10","0","0","7","87.5","1","12.5","0","0","0","0","0","0","0","0"
"23","1","""Walking, Dancing""","3-6 hours per week","4-6 times a week","148176","""""rolled over 1 time""""","NA","NA","20-40%","0.05","5","0.45","45","0.05","5","0.1","10","0.35","35","2","5.714285714","22","62.85714286","11","31.42857143","X","0","X","0","X","0"
"9","0","""""","","","0",""""""
"2","3","""Dancing""","More than 6 hours per week","Once to three times a week","75425","""Pedometer not working at all""","NA","NA","20-40%","0.0","0","1","100","0","0","0","0","0","0","1","25","0","0","3","75","0","0","0","0","0","0"
"129","3","""Sports activities, Walking""","3-6 hours per week","All the time","235144","""one rollover""","10","0-10","0-20%","2.0","20","0","0","0","0","0","0","8","80","1hr/wk","10","9hr/wk","90","0","0","0","0","0","0","0","0"
"39","1","""Sports activities, Walking, Hiking""","3-6 hours per week","4-6 times a week","139559","""""1 rollout""""","30","21-30","NA","0.15","15","0.15","15","0.05","5","0.05","5","0.6","60","1","25","3","75","0","0","0","0","0","0","0","0"
"142","0","""""","","","0",""""""
"8","2","""Sports activities, Walking""","1-3 hours per week","Once to three times a week","250276","""NA""","NA","NA","60-80%","8.0","8","50","50","2","2","15","15","25","25","0","0","7","77.77777778","2","22.22222222","0","0","0","0","0","0"
"59","2","""Walking""","3-6 hours per week","All the time","268055","""put 50-70 for average hours shoes were worn""","50 to 70","51-60","40-60%","0.0","0","0.8","80","0","0","0.1","10","0.1","10","0","0","7 out of 7","100","0","0","0","0","0","0","0","0"
"54","3","""Sports activities, Walking, Dancing, Hiking""","More than 6 hours per week","All the time","413998","""one rollover""","NA","NA","80-100%","10.0","10","60","60","5","5","5","5","20","20","6","42.85714286","7","50","0","0","0","0","1","7.142857143","0","0"
"126","3","""Walking""","More than 6 hours per week","All the time","325664","""one rollover""","50","41-50","60-80%","3hr","1.470588235","195hr","95.58823529","1hr","0.490196078","3hr","1.470588235","2hr","0.980392157","5 hr","10","45 hr","90","0","0","0","0","0","0","0","0"
"52","3","""Sports activities, Walking""","More than 6 hours per week","4-6 times a week","811116","""NA""","30","21-30","60-80%","0.0","0","0.5","50","0","0","0.25","25","0.25","25"," 6 days/wk","46.15384615","7 days/wk","53.84615385","0","0","0","0","0","0","0","0"
"13","2","""Sports activities, Walking""","1-3 hours per week","4-6 times a week","191723","""one rollover""","10","0-10","0-20%","0.0","0","0.33","33.33333333","0","0","0.33","33.33333333","0.33","33.33333333","2","12.57142857","5","71.42857143","0","0","0","0","0","0","0","0"
"46","1","""Sports activities, Walking""","3-6 hours per week","4-6 times a week","36597","""NA""","21","21-30","0-20%","5.0","5","45","45","5","5","15","15","30","30","5","33.33333333","7","46.66666667","0","0","0","0","0","0","3","20"
"146","3","""Sports activities, Walking, Dancing""","More than 6 hours per week","All the time","231719","""NA""","6","0-10","20-40%","0.0","0","0","0","0","0","0.25","25","0.75","75","2","33.33333333","4","66.6666666","0","0","0","0","0","0","0","0"
"84","1","""Sports activities, Walking, Dancing, Climbing, Hiking""","More than 6 hours per week","4-6 times a week","43248","""NA""","24","21-30","20-40%","0.0","0","0.4","40","0","0","0.1","10","0.5","50","0","0","2x","100","0","0","0","0","0","0","0","0"
"153","1","""Walking""","3-6 hours per week","4-6 times a week","58730","""NA""","25","21-30","20-40%","0.0","0","25","62.5","0","0","10","25","5","12.5","0","0","15","83.33333333","3","16.66666667","0","0","0","0","0","0"
"156","1","""Sports activities, Walking""","1-3 hours per week","All the time","58123","""NA""","20"," 11-20","40-60%","15.0","15","35","35","0","0","25","25","25","25","1","16.66666667","5","83.33333333","0","0","0","0","0","0","0","0"
"143","0","""""","","","0",""""""
"147","2","""Walking, Hiking""","3-6 hours per week","4-6 times a week","267559","""NA""","4","0-10","40-60%","0.0","0","0.25","25","0.05","5","0.1","10","0.6","60","0","0","5 times/wk","71.42285714","0","0","1 time/wk","14.28571429","0","0","1 time/wk","14.28571429"
"50","2","""Sports activities, Walking""","More than 6 hours per week","All the time","529703","""NA""","NA","NA","40-60%","1.0","1","70","70","0","0","1","1","28","28","2","11.76470588","15","88.23529412","0","0","0","0","0","0","0","0"
"144","2","""Sports activities, Walking, Hiking""","3-6 hours per week","4-6 times a week","255939","""NA""","16"," 11-20","0-20%","0.0","0","50","50","0","0","0","0","50","50","0","0","2 days/wk","100","0","0","0","0","0","0","0","0"
"67","1","""Walking""","1-3 hours per week","4-6 times a week","104308","""1 roll over""","24","21-30","20-40%","20.0","20","60","60","0","0","0","0","20","20","0","0","5","100","0","0","0","0","0","0","0","0"
"119","3","""Sports activities, Walking, Dancing, Hiking""","1-3 hours per week","Once to three times a week","331678","""NA""","48","41-50","20-40%","10.0","10","20","20","10","10","10","10","50","50","5","5","80","80","5","5","0","0","0","0","10","10"
"73","2","""Sports activities, Walking""","3-6 hours per week","4-6 times a week","23092","""NA""","NA","NA","40-60%","0.1","10","0.4","40","0.1","10","0.1","10","0.3","30","2x per week","NA","7(week)x 3(day)=21","NA","0","NA","0","NA","0","NA","0","NA"
"97","2","""Walking""","3-6 hours per week","All the time","250821","""NA""","60","51-60","60-80%","10.0","10","80","80","0","0","0","0","10","10","3","NA","All Day","NA","0","NA","0","NA","0","NA","2 times a week","NA"
"41","1","""Walking, Climbing, Hiking""","More than 6 hours per week","Once to three times a week","59473","""reset once""","about 8 to 10","NA","20-40%","0.03","3","0.8","80","0.02","2","0.05","5","0.1","10","5 times","62.5","3 times","37.5","0","0","0","0","0","0","0","0"
"9","2","""Walking, Hiking""","3-6 hours per week","Once to three times a week","94187","""no rollovers""","4","0-10","0-20%","0.0","0","0.5","50","0","0","0","0","0.5","50","0","0","5","100","0","0","0","0","0","0","0","0"
"114","1","""Walking, Dancing""","3-6 hours per week","4-6 times a week","38687","""NA""","30","21-30","20-40%","0.0","0","0.7","70","0","0","0.1","10","0.2","20","0","NA","12 days"," Monday"," Wednesday per week","NA","2 times (2 days)","NA","0","NA","0","NA","0","NA"
"109","1","""Sports activities, Walking""","3-6 hours per week","4-6 times a week","86055","""Pedometer reset""","20 to 30","21-30","20-40%","0.1","10","0.15","15","0.05","5","0.2","20","0.5","50","1","18.18181818","3 to 4","63.63636364","0","0","0","0","0","0","0","0"
"63","2","""Walking""","3-6 hours per week","All the time","282231","""put 40-45 hours for how many hours they wore the shoes in a week""","40 to 50","41-50","40-60%","0.2","20","0.4","40","0","0","0.2","20","0.2","20","2","33.33333333","4","66.66666667","0","0","0","0","0","0","0","0"
"58","3","""Walking, Hiking""","3-6 hours per week","4-6 times a week","536268","""NA""","45","41-50","40-60%","0.15","15","0.35","35","0.5","50","0","0","0","0","5","6.666666667","70","93.33333333","0","0","0","0","0","0","0","0"
"8","0","""""","","","0",""""""
"4","3","""Sports activities, Walking""","3-6 hours per week","4-6 times a week","282384","""NA""","35","31-40","60-80%","0.0","0","0.7","70","0","0","0","0","0.3","30","4","28.57142857","10","71.42857143","0","0","0","0","0","0","0","0"
"4","2","""Sports activities, Walking""","3-6 hours per week","4-6 times a week","167201","""NA""","30","21-30","40-60%","0.0","0","0.8","80","0","0","0","0","0.2","20","3","30","7","70","0","0","0","0","0","0","0","0"
"73","3","""Sports activities, Walking""","3-6 hours per week","4-6 times a week","64754","""NA""","NA","NA","20-40%","0.0","0","0.5","50","0.05","5","0.05","5","0.4","40","0","0","7 days a week","77.77777778","0","0","0","0","0","0","2 days a week (peddles hace a metal stud)","22.22222222"
"22","2","""Walking""","1-3 hours per week","All the time","166820","""NA""","45","41-50","60-80%","0.0","0","0.8","80","0","0","0.1","10","0.1","10","0","0","1","100","0","0","0","0","0","0","0","0"
"6","0","""""","","","0",""""""
"111","0","""""","","","0",""""""
"82","1","""Sports activities, Walking, Dancing""","More than 6 hours per week","4-6 times a week","131897","""rolled over once and an accidental reset""","12"," 11-20","20-40%","0.0","0","0.6","60","0.1","10","0.2","20","0.1","10","2 times","33.3333333","3 times","50","1 times","16.66666667","0","0","0","0","0","0"
"144","1","""Sports activities, Walking, Hiking""","3-6 hours per week","4-6 times a week","178166","""NA""","40"," 4 x10 hour days","31-40","60-80%","0.05","5","0.4","40","0.05","5","0.1","10","0.4","40","<1","20","4","80","0","0","0","0","0","0","0","0"
"145","3","""Sports activities, Walking, Dancing""","More than 6 hours per week","All the time","395085","""one rollover""","20"," 11-20","60-80%","0.1","10","0.1","10","0.6","60","0.1","10","0.1","10","3 days/week","15","7 days/week","35","0","0","4 days/week","20","5 days/week","25","1 day/week","5"
"61","1","""Sports activities, Walking""","3-6 hours per week","4-6 times a week","127512","""1 roll over""","40","31-40","40-60%","0.05","5","0.25","25","0","0","0.1","10","0.6","60","3","27.27272727","7","63.63636364","1","9.909090909","0","0","0","0","0","0"
"106","3","""Walking""","1-3 hours per week","4-6 times a week","146453","""NA""","8","0-10","0-20%","0.0","0","0.8","80","0","0","0","0","0.2","20","0","0","1","100","0","0","0","0","0","0","0","0"
"147","1","""Walking, Hiking""","3-6 hours per week","4-6 times a week","123162","""NA""","5 to 6 hours","0-10","20-40%","0.25","25","0.25","25","0","0","0.25","25","0.25","25","0","0","All of the steps are from walking","100","0","0","0","0","0","0","0","0"
"46","3","""Sports activities, Walking""","3-6 hours per week","4-6 times a week","215164","""Reset randomly; count probably not accurate""","10","0-10","20-40%","5.0","5","50","50","0","0","5","5","40","40","3","17.64705882","10","58.82352941","0","0","0","0","0","0","4","23.52941176"
"27","3","""Sports activities, Walking""","More than 6 hours per week","All the time","237579","""NA""","40","31-40","20-40%","0.0","0","0.5","50","0","0","0.1","10","0.4","40","2","9.090909091","20","90.90909091","0","0","0","0","0","0","0","0"
"131","2","""Sports activities, Walking, Hiking""","More than 6 hours per week","All the time","287495","""NA""","40","31-40","40-60%","0.0","0","0.45","45","0","0","0.1","10","0.45","45","2","16.66666667","5","41.66666667","0","0","0","0","0","0","5","41.66666667"
"10","2","""Walking""","3-6 hours per week","All the time","222315","""NA""","NA","NA","40-60%","5.0","5","20","20","5","5","35","35","35","35","15","15","85","85","0","0","0","0","0","0","0","0"
"94","1","""Sports activities, Walking""","3-6 hours per week","4-6 times a week","76966","""NA""","10","0-10","0-20%","0.0","0","0.5","50","0","0","0.2","20","0.3","30","0","0","3","100","0","0","0","0","0","0","0","0"
"140","0","""""","","","0",""""""
"141","3","""Sports activities, Walking""","More than 6 hours per week","All the time","1244556","""NA""","100 (14 to 15 hours daily)","91-100","60-80%","5.0","5","40","40","5","5","10","10","40","40","4","36.36363636","7","63.63636364","0","0","0","0","0","0","0","0"
"48","2","""Sports activities, Walking, Climbing""","3-6 hours per week","All the time","728579","""NA""","72","71-80","40-60%","10.0","10","10","10","0","0","10","10","70","70","1","6.25","10","62.5","0","0","0","0","0","0","5","31.25"
"44","3","""Walking, Hiking""","3-6 hours per week","4-6 times a week","332702","""NA""","2","0-10","0-20%","0.0","0","20","20","0","0","0","0","80","80","0","0","1","100","0","0","0","0","0","0","0","0"
"101","0","""""","","","0",""""""
"15","3","""Walking, Hiking""","1-3 hours per week","4-6 times a week","499743","""NA""","40 to 50 ","41-50","60-80%","0.1","0.142450142","60 to 80%","99.71509972","0","0","0","0","0.1","0.142450142","0","0","80 to 90%","87.17948718","0","0","10 to 15%","12.82051282","0","0","0","0"
"64","1","""Sports activities, Walking""","3-6 hours per week","All the time","86975","""NA""","70","61-70","60-80%","0.1","10","0.3","30","0","0","0.1","10","0.5","50","5","29.41176471","7","41.11764706","0","0","0","0","0","0","5","29.41176471"
"10","3","""Walking""","3-6 hours per week","All the time","375733","""NA""","30","21-30","40-60%","0.0","0","0.3","30","0.3","30","0.1","10","0.3","30","0","0","10 times","83.33333333","0","0","0","0","2 times","16.66666667","0","0"
"40","3","""Walking, Hiking""","More than 6 hours per week","4-6 times a week","253316","""NA""","NA","NA","NA","20.0","20","40","40","20","20","0","0","20","20","0","0","14","77.77777778","0","NA","0","0","2","11.1111111","2","11.11111111"
"124","2","""Sports activities, Walking""","1-3 hours per week","4-6 times a week","205688","""NA""","NA","NA","40-60%","0.01","1","0.19","19","0","0","0","0","0.8","80","0","0","6","100","0","0","0","0","0","0","0","0"
"160","2","""Walking, Dancing, Hiking""","3-6 hours per week","4-6 times a week","157085","""NA""","15"," 11-20","20-40%","5.0","5","<5","5","0","0","0","0","90","90","1","25","3","75","0","0","0","0","0","0","0","0"
"1","3","""Sports activities, Walking""","3-6 hours per week","4-6 times a week","780281","""3 roll overs""","40","31-40","40-60%","10.0","10","80","80","0","0","0","0","10","10","2","33.33333333","4","66.66666667","0","0","0","0","0","0","0","0"
"68","2","""Walking""","3-6 hours per week","4-6 times a week","363593","""NA""","60","51-60","80-100%","0.1","10","0.3","30","0.1","10","0.1","10","0.4","40","7x","NA","7x","NA","6 hours/3x","NA","1 hour / 1x","NA","0 hours/0x","NA","0hours/0x","NA"
"121","0","""""","","","0",""""""
"100","3","""Walking, Climbing""","1-3 hours per week","All the time","303464","""NA""","every day but 1","NA","80-100%","0.0","0","0.8","80","0","0","0","0","0.2","20","0","0","1","100","0","0","0","0","0","0","0","0"
"152","2","""Sports activities, Walking, Climbing, Hiking""","3-6 hours per week","All the time","456419","""NA""","36","31-40","60-80%","0.2","20","0.55","55","0","0","0","0","0.25","25","6","33.33333333","12","66.66666667","0","0","0","0","0","0","0","0"
"17","2","""Walking""","1-3 hours per week","Once to three times a week","247671","""NA""","3","0-10","40-60%","0.0","0","0.8","80","0","0","0.1","10","0.1","10","3","42.85714286","4","57.14285714","0","0","0","0","0","0","0","0"
"93","2","""Walking, Dancing, Hiking""","1-3 hours per week","4-6 times a week","303927","""1 rollover""","NA","NA","60-80%","0.0","0","0","0","0","0","0","0","100","100","0","0","4 to 5","81.81818182","1","18.18181818","0","0","0","0","0","0"
"130","2","""Walking, Hiking""","3-6 hours per week","All the time","265298","""NA""","20"," 11-20","40-60%","0.05","5","0.1","10","0.05","5","0.05","5","0.75","75","2","22.22222222","5","55.55555556","0","0","0","0","2","22.22222222","0","0"
"38","3","""Walking, Hiking""","More than 6 hours per week","4-6 times a week","399677","""NA""","6","0-10","20-40%","0.0","0","0.5","50","0.5","50","0","0","0","0","2","6.25","30","93.75","0","0","0","0","0","0","0","0"
"141","0","""""","","","0",""""""
"107","1","""Sports activities, Walking, Hiking""","3-6 hours per week","4-6 times a week","58348","""NA""","NA","NA","40-60%","0.0","0","30","21.42857143","10","7.142857142","40% of that it was wet","28.57142857","60","42.85714286","1","6.25","14","87.5","0","0","0","0","1","6.25","0","0"
"95","1","""Sports activities, Walking""","3-6 hours per week","4-6 times a week","95598","""NA""","40","31-40","60-80%","0.0","0","0.8","80","0","0","0.1","10","0.1","10","3","NA","@ work 8-5","NA","0","NA","0","NA","0","NA","0","NA"
"118","3","""Sports activities, Walking, Hiking""","3-6 hours per week","All the time","363608","""NA""","25","21-30","40-60%","0.1","10","0.3","30","0","0","0.2","20","0.4","40","2","22.22222222","5","55.55555556","1","11.11111111","0","0","0","0","1","11.11111111"
"127","1","""Walking, Dancing""","1-3 hours per week","4-6 times a week","44085","""0 rollovers""","6 to 7 ","0-10","40-60%","0.0","0","0.2","22.22222222","0","0","0.2","22.22222222","0.5","55.55555556","1","16.66666666","4","66.66666667","1","16.66666666","0","0","0","0","0","0"
"130","0","""""","","","0",""""""
"111","3","""Sports activities, Walking""","More than 6 hours per week","4-6 times a week","382036","""NA""","20"," 11-20","20-40%","0.0","0","0.85","85","0","0","0.05","5","0.1","10","5x","50","3x","30","0","0","0","0","0","0","2x","20"
